Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,24890056.20,1342144.46,3048702.30,9587,0,13272,0,24903,0,1742,0,87,0.826481875930182,18372
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,17477841.87,398788.82,130200.00,4373,0,2599,0,11216,0,701,0,53,0.9606548549697532,13092
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,6028199.27,200034.26,35900.00,3228,0,4018,0,6348,0,334,0,19,0.8099723935125364,3732
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6141836.38,4668352.88,5247648.00,3655,0,1994,0,9089,0,940,0,24,0.9639346255125905,15348
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,7410873.13,1582395.24,4402827.00,1165,0,378,0,3331,0,250,0,79,0.2707171740810578,18972
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1070270.70,385072.74,908921.00,458,0,254,0,1201,0,152,0,7,0.9861387994763932,1812
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,3463156.85,1687459.65,196493.39,1041,0,570,0,3193,0,196,0,18,0.9728276656077824,3756
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,2504142.77,1632263.08,388059.98,1089,0,615,0,3260,0,274,0,21,0.9658619455683979,4560
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,487814.14,183908.45,113581.79,178,0,131,0,596,0,72,0,5,0.952428145954437,948
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,23494469.84,0.00,0,6961,0,6621,0,18665,0,1412,46,0.98295861076323,24660
